Actual,Predicted
80.42916456691484,80.93701528201
88.97211403800642,80.7438067706184
84.66189785308703,80.85420749784228
94.111721672843,91.1662232424479
100.60147815855954,99.19076105553768
107.74857507234412,102.34625386796635
113.5580743904443,112.53160875292009
108.5189251645416,115.3687290604239
109.64993722201076,117.00046518173481
125.70690063527384,118.92972727957958
121.66157005989795,117.54918051363335
115.57608384299856,118.27228873865165
125.07626795330152,116.84193872281959
114.72050879519531,118.10831028054704
115.89648592031908,113.63034873225169
105.51397330910127,106.5954459096182
110.3037396244101,98.95817545539785
103.6003233101656,98.1864891267914
88.75517925760472,87.61506759216509
90.71571913104096,86.32346610570025
85.90637167223699,79.46035391091746
87.52464126188042,81.85399854377145
75.17538269709948,82.3005312703163
84.11174077421087,84.0425563278229
87.97161435855907,84.0361827350062
77.06416694415344,85.42852962349598
84.08370743667123,86.11580907093284
84.62745820914883,92.35961419583874
98.65296582777712,98.688084173315
108.7640921810303,104.71147062482505
117.51178526047988,113.03567084587729
114.51260952582972,113.641914345478
125.46358580354526,120.54133823910432
112.4180092347068,120.7306036949679
111.48308780322422,119.43481084597128
119.04077803129827,120.65544549090768
119.2408353203854,117.98302796896783
113.97866188326046,116.54484289998136
99.66278949980068,113.99170859737178
104.73078070448663,106.65504438241858
93.47765249747576,100.18547444978738
98.17198184209964,91.56123627942159
91.83299123048444,88.38499766044468
81.15846544463233,86.9626321333046
80.11015733762771,84.10536238599362
75.38541586477395,81.80044443460021
79.68660451363414,82.47306644244244
85.45719507672484,81.9869993133549
77.75086169263334,81.3803041522301
88.37809695385815,82.86875701385854
87.34871190813779,83.59871731275531
90.85925493663774,88.22669042962896
99.46484820022695,100.95398363262046
100.00016928995348,105.41272547530563
107.23175347326394,109.8816631788086
108.1527461607867,112.91694740265233
127.1441337402708,118.62442847708597
119.49483428563995,116.59980274092652
116.50137246003708,116.2325601890998
120.38841607945244,117.22151921155336
116.75886782723477,116.47683753411064
113.03728762606492,114.57117150095006
113.07083350021706,108.90829993188028
108.96391945228726,106.93715752240578
97.34749426194752,97.96036484200742
91.94452789472618,93.0387201277844
88.62474151424186,88.67092754475391
74.34825855259128,84.62085433372204
75.10353661331848,83.71430759347615
87.5158548114413,81.35285353727713
88.22483856750642,80.89058677710005
79.43630327643679,78.81234240948703
85.56227673958995,81.21837837841909
87.4141151489867,83.3125659722617
105.3944040422763,85.64612058045763
100.4214936551222,95.50788753446784
99.36041204259608,102.37088052564597
100.39867869904836,105.51467162716803
101.96776839871184,108.44756470697456
115.15945380306697,111.78762213386852
113.53875434926726,116.81744580181014
112.20724797779287,117.14350184730802
116.76713557878736,117.23300995893342
113.9107765077094,116.47933041367449
125.75621625105168,116.47416254917171
118.5503344084784,115.15273740894546
109.96013679341698,109.74701250948485
112.576101596501,108.62897127345924
100.3868415382384,99.43630244382922
90.5171980913084,93.49459973030675
97.61562038634824,92.58000639769399
88.55241459469259,85.68926137908363
77.49326115267904,81.02707649906365
79.7297900838006,84.6117621503692
75.62190873307621,87.14826273374536
73.76748481939703,84.30235787314955
